# iozone -+m iozone_config -a -i0 -i1 -i2 -i3 -i4- -i5 -i6 -i7 -i8 -i9 -i10 -i11 -i12 -g 1G
        Iozone: Performance Test of File I/O
                Version $Revision: 3.506 $
                Compiled for 64 bit mode.
                Build: linux-AMD64

        Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
                     Al Slater, Scott Rhine, Mike Wisner, Ken Goss
                     Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
                     Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
                     Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
                     Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
                     Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
                     Vangel Bojaxhi, Ben England, Vikentsi Lapa,
                     Alexey Skidanov, Sudhir Kumar.

        Run began: Tue Feb  4 11:54:54 2025

        Network distribution mode enabled.
        Auto Mode
        Selected test not available on the version.
        Using maximum file size of 1048576 kilobytes.
        Command line used: iozone -+m iozone_config -a -i0 -i1 -i2 -i3 -i4- -i5 -i6 -i7 -i8 -i9 -i10 -i11 -i12 -g 1G
        Output is in kBytes/sec
        Time Resolution = 0.000001 seconds.
        Processor cache size set to 1024 kBytes.
        Processor cache line size set to 32 bytes.
        File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
            2048    1024   2884652   8357547  10084382  18284015   8159088   4934459  12786337    9140117   15048789   5235193  10780463  10834854  17940335
            2048    2048   2848305   6003564  11900619  25278959  17221003   5937172  10192069    5131978   10673302   5553337   7059413   7616502  17050094
            4096       4   1716646   7099689   4988629   9914481   5640500   6166930   4205798    6804432    6149271   5139356   6349261   8788530  11164417
            4096       8   2765680   6716643   6727163  11348794   8865630   6512939   7027089    9943171    9524234   6007355   7447471   8292220   6449370
            4096      16   3023131   8607986  10065509  11378861   7314299   6659365   9593374   10606129   10672014   5353976   7447471   8112108  14084103
            4096      32   3093350   7099689   9081201  10012712  10369272   7486415   8788530   10190895   10369272   5190597   7954358   8276241  17974227
            4096      64   3083911   6804432   5647918  10612681  12765490   8625273  11633127   13207098   11841605   6389405   5859825  11664722  17063738
            4096     128   3324403   8925508   8240513  11841605  10638969   9327731  10586522    8569343   11736440   5396016   5101205  10840363  17217649
            4096     256   2876348   7038605   8426437   9801354  11736440   8340529  15233004   14026607   18698043   5416431   7572208  12880338  18280235
            4096     512   3124291   7277121  11672647  12606249  11439475   9614850  10950922   12040791   13166611   6682678   7770863  12379160  15866068
            4096    1024   2733991   8324363  13790167  13299112  11736440   9524234  10725314    6628532   18779801   7770863   8695120  10215133  17217649
            4096    2048   2538094   6975730  11099499   9545402   7921350   9119767  11477688    8443002   10288543   5859825   9414629   9503161  15749706
            4096    4096   2552044   7816828  11378861  22144551  13136407   8047509   6351609    8548024   12405978   9571993   7863339  10923071  10867793
            8192       4   1912188   5780764   8705708   9753515   7990997   6081578   4667931    8307870    5400092   6063334   6127127   7613830   9603578
            8192       8   2832670   8104083  10625170   9256879   7092077   7952160   8808369   12586880    7086227   6239504   6434642   7320230  12263426
            8192      16   2946853   8411596  10356163  10569606  14498968   9224572   7649426   13475433    8360428   6825797   6144658  10356163  14710015
            8192      32   3181514   8368573  10359285  10638329  15137744  10356163  11222050   16819875   11735662   6670750   5993529  13565880  12942468
            8192      64   2961585   9185117   8752276  10738070   8250021   8157959  10076743   13277557   14523482   5953031   8157959  10514620  16027449
            8192     128   2717085   6480761  13701116  12661090  11251448   5935548  10908526   16155560   11993741   8350269   7870194   9905351  15005525
            8192     256   2932017   9114458  14170099   8096444  10556617   8015231  12661090   11160086   11889982   6670750   7781080  10751510  13496606
            8192     512   3011685   8350269  10356163  11408351   9513174   8526400  11636301   10294109   17586057   7080386   8117485  14100319  13323895
            8192    1024   3280539   8856046  11236730  11656039   8358395   8198838   9061576   12245943   18655463   7179509   8507400   9988860  13794628
            8192    2048   2964907   8741143  11804201  12860118  10805609   8436380   9660279   10694620   15137744   8515834   8962305   9706673  13630458
            8192    4096   2642689   5806161  12508980   8631352   7522154   8558256   9965682    9141131   11538609   4979812  11408351   8157959  11604860
            8192    8192   2697461   7591960   6895660  11222050  11348065   9011667   8368573    8507400   10612044   5789530   7669917  10638329  10908526
           16384       4   2154633   7272051   8347030   7440550   6258145   6054683   5278072    9923668    6590022   5323045   6075022   7817198   8415517
           16384       8   2686368   8131707  11409877   6372469   7426879   7324760   7794146   14731476    7331011   6854943   7370324   8724282   8771050
           16384      16   2825775   8842150  12254254   8799127   9056567   8082927   9740803   14195875   10624851   6328456   7578401  10923795  12554241
           16384      32   3026782   8663787  12524496  10475840  11984967   7485124  11076987   18185501    8889044   7186120   8262724  12320163  13160098
           16384      64   2986530   9372790  11761383  10570916  12740443   9775444  10916854   16350857   10672705   6535496   7080244  12593352  12871694
           16384     128   3059119   8275660  10549819  10496642   8609515   8437214  12449618   17693850   10001662   7560891   7988030  12402433  10680999
           16384     256   2956972   8578347  12653643   7858319   9162834   9388155  13802401   12669973   10835947   6491662   7728405  13032810  13485497
           16384     512   3280196   8705493  13117393  10700958   9256637   9057761  11745301   16350857   12572616   7491652   7064958  11635919  12225912
           16384    1024   3307350   8441360  11425053   9746329   8270680   8636565  11402305   16319792   24945308   7160661   7170374  11586870  12126668
           16384    2048   3230238   7831452  10878833  10264596  11276939   8150997  10722665   14207615   18942435   7659492   7420464  10190014  11645778
           16384    4096   2981088   7123547  10806978   9717387   9240456   8533606  10057285   10702625   14359019   8176212   6781211  11011314  11536296
           16384    8192   3082585   6712324   9615411   9817340   6841294   6507029   9959624    8347030    9735283   5542427   8678010   7790612   9117851
           16384   16384   1270188   6566722   8019726   8596590   8418609   6720201   9389438    6282173    8467363   6159422   6767187   8983166   9459231
           32768      64   3029571   8108585  11241709  10495684  10937536   8513417  11405906   16409042   11737082   6042386   7714006   9054065  11397393
           32768     128   2540940   9024933  12398859  10024133  10751020   8555282  12150045   18863933   10858039   7341900   7768509  12123252  12710757
           32768     256   3344761   8485035  12100836   8070968  11217852   7555407  12221352   13018990   12171565   6848046   7291653  12291302  13028863
           32768     512   3204391   8693822  12070018  10333906  11513880   8875729  11338158   16188704   12819834   6768789   7186047  11942069  13017757
           32768    1024   3177352   8806347  11187718  10445431  11745106   9235368  12175878   15747251   10952353   7337197   7462692  11550651  12652251
           32768    2048   3222045   8493425  11719068  10556955  11302726   8839196   9418913   15627287   22949309   6932326   7246288   9435078  12835398
           32768    4096   3218876   7790526   9702847  10208031  11803611   8582529  11272135   12352058   15639735   6862406   6889928  11465853  11682211
           32768    8192   2987101   6988016  10482076   9938598   9253400   7425196   8985401   10167253   12535697   6713244   5243598   9446102  11778322
