admin@master:~$ iozone -+m iozone_config -a -i0 -i1 -i2 -i3 -i4- -i5 -i6 -i7 -i8 -i9 -i10 -i11 -i12 -g 1G
        Iozone: Performance Test of File I/O
                Version $Revision: 3.506 $
                Compiled for 64 bit mode.
                Build: linux-AMD64

        Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
                     Al Slater, Scott Rhine, Mike Wisner, Ken Goss
                     Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
                     Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
                     Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
                     Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
                     Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
                     Vangel Bojaxhi, Ben England, Vikentsi Lapa,
                     Alexey Skidanov, Sudhir Kumar.

        Run began: Sun Feb  2 16:09:21 2025

        Network distribution mode enabled.
        Auto Mode
        Selected test not available on the version.
        Using maximum file size of 1048576 kilobytes.
        Command line used: iozone -+m iozone_config -a -i0 -i1 -i2 -i3 -i4- -i5 -i6 -i7 -i8 -i9 -i10 -i11 -i12 -g 1G
        Output is in kBytes/sec
        Time Resolution = 0.000001 seconds.
        Processor cache size set to 1024 kBytes.
        Processor cache line size set to 32 bytes.
        File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
            2048     512   3200654   7643611   9525260  14226322   7262337   6266340  10339282    9483197   23546602   3346546   9483197  14017386  17977882
            2048    1024   3915540   8912516   6498636  19893055  20708333   9308497  16244028   11642543    3885431   7503399  12635867  11706006  17828628
            2048    2048   3812993   8608824  20909969  22498183  11917129   9140117  17501701    9062970   13467949   8678404   5953632  12398764  18284015
            4096       4   3230631   5332372   6651630   8497289   8344580   4581535   7027089    8642630    5291314   5792648   4964124   8888565   9461292
            4096       8   2942360   4161985  12151506  12718238  13381985   7326777   9461292   12606249    6186918   7123239   7015611   9287391  13086376
            4096      16   4067390   8552280  10215133  10586522  15287223   8142867   6964419    9823772    8902382   6077484   4043458  12160107  13658603
            4096      32   4112175   7670249  10425907  10444923  18698043   6941906  12756011    9307517   15508016   8356757   6669706   8093001  11135471
            4096      64   4112175   6077484  10923071  15219509  21320113   4654774  14212266   18049765   17974227   7274040   5270212   5107271  13647752
            4096     128   3248345   6714018  13935585  14524675  21560926  10806269   8569343   17569819    4413235   5818150   7314299  13980948  14787213
            4096     256   3506950   5777065  13340420  11070889  21890602   3957760  13561566    4900405   16058868   8193352   6575257  14118827  11641010
            4096     512   4218190   9267351   3258202  14573961   5151685   9995236  11252164   12803544    9202815   8189447   8497289  12015527  15452222
            4096    1024   3782607   7050159   5777065  16862753   7965422  10419583   9550708    4735608   16058868   7460407   7050159   5025108  14586335
            4096    2048   3583764   8531046  14623583  15564215  17427236   9846293  12194633   11470025   14889742   6714018   7355007   8660056  13046624
            4096    4096   2640698   6058196   6532752  19981106  18106836   9524234   5961494    9183139   10725314   8158335   7225093   8883968  13166611
            8192       4   2760083   6077276   6902587   7405426   4561346   4071635   4827293    7149631    5022761   4836126   4114541   7816482   7453619
            8192       8   3376942   6715075   8723390   9286903   7097937   6793408   5198297   12840894    7954000   5769116   5765244   8763438   9175306
            8192      16   3518732   4838850   4935463   9515809   4153837   5546540   6339662    7019632   10569606   4702429   6627005   8119403   9660279
            8192      32   3975070   7191531   8275854  12010511  16584440   4849778   8376734   17390241   12759828   8250021   6114043   8714540  12468128
            8192      64   3718664   6720329   4168957   9234488   6395120   8419841   5630154   16927599   10654824   7899143   6737460   8913481   9234488
            8192     128   3262473   7068733   5741161  12961998  17888190   5135366   6205696   18288074   11299550   8136708   4343942  11363077  10151170
            8192     256   2847459   6758664   5509188  12540939  16961023   6230453   9786852   16819875   13979843   7585256   6470997  11719650  12450057
            8192     512   3175340   8007759  11088058  10214543  16994579   4941141  10517839   16254918   24598796   6267959   5007390   8577485   6930432
            8192    1024   3544870   6825797  11088058  13723005   9214676   8275854   5031588    8498983   23964013   5432536   7080386   9342456  12527222
            8192    2048   3232699   7613830  12468128  14100319  18249221   6248582  11378128    9204802   21277939   6425016   7326473  10356163  11113162
            8192    4096   3383593   5747884   7537004  13344594  15171163   7786370   8808369    9092750   13170677   6316353   7413415   6336155  12211126
            8192    8192   2797840   4705649   9383277  11755738  13695655   5554610   8069823    5056765    7735533   5295233   5757516   8705708   9276873
           16384       4   2808337   4803271   5209649   7016626   4154291   4460622   5153778    5278477    4681225   4518697   5044073   6566722   7230732
           16384       8   3288673   6846747   6417699   9592593   6792606   5607095   7706737   11472738    7447807   6540472   4697224   4259083   9256637
           16384      16   3385228   5981949   7282069  11085922   8023471   7182365   9062539   12173931    8595515   6081474   5927769   5533055   8609515
           16384      32   3533352   7186120   7802110  11417460   9597952   7245981   8828519    8600894   10800184   5659275   6533011   9880862  10827411
           16384      64   3632913   6936592   8286637  11561528   8143270   7220855  10088290   10070550   13150025   7186120   6070193  10208178  10722665
